NO.,NAME,YEAR,GRADE,POS,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG
18,Tim Zupkus,2021,So.,OF,18,68,20,18,5,0,1,7,13,14,1,1,0.265,0.378,0.382
17,Joe Boushell,2021,So.,IF,18,63,13,19,3,0,0,7,7,18,0,0,0.302,0.392,0.349
10,Steve Rizzuto,2021,So.,IF,18,61,18,21,4,1,2,19,13,11,0,0,0.344,0.469,0.541
34,Ryan Berardino,2021,Gr.,1B,18,60,11,29,7,2,1,20,8,2,0,0,0.483,0.527,0.717
26,Joe Cacciatore,2021,Fr.,OF,18,60,10,10,2,1,0,10,2,12,1,0,0.167,0.188,0.233
23,Liam Sears,2021,Jr.,OF,18,59,15,22,4,2,2,15,13,12,2,0,0.373,0.5,0.61
5,Charlie Auditore,2021,Sr.,C,16,56,11,14,3,0,0,11,8,11,0,0,0.25,0.348,0.304
31,Jackson Walonis,2021,Fr.,IF,17,51,11,17,1,2,1,10,11,7,2,1,0.333,0.453,0.49
7,Kyle Halloran,2021,Sr.,2B,10,36,15,13,1,1,0,5,5,4,8,0,0.361,0.429,0.444
29,Al Paolozzi,2021,So.,1B,11,32,8,6,2,0,1,3,4,10,0,0,0.188,0.297,0.344
4,Cory Bright,2021,Fr.,3B,3,5,0,0,0,0,0,0,1,1,0,0,0,0.286,0
91,Ryan Kolakowski,2021,Fr.,C,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Matt Ploszay,2021,Fr.,C,3,3,1,2,1,0,0,0,0,1,0,0,0.667,0.75,1
93,Sean McGivern,2021,Fr.,C,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Tommy Fisher,2021,So.,OF,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Jake Pierce,2020,Gr.,INF,14,57,9,17,4,1,1,12,3,10,0,0,0.298,0.344,0.456
18,Luke Figueira,2020,Sr.,OF,14,54,11,18,2,1,0,5,6,11,1,0,0.333,0.419,0.407
32,Max Troiani,2020,Sr.,OF,14,53,13,19,2,2,2,10,10,10,1,1,0.358,0.47,0.585
34,Ryan Berardino,2020,Sr.,1B,13,50,12,12,6,0,1,9,4,5,0,0,0.24,0.333,0.42
4,Kyle Halloran,2020,Jr.,2B,14,49,11,11,2,1,0,5,9,14,4,0,0.224,0.377,0.306
17,Chris Hopkins,2020,Sr.,SS,13,47,10,17,7,0,2,14,7,7,0,0,0.362,0.455,0.638
10,Christopher Butler,2020,Sr.,C,13,42,3,10,2,0,0,5,7,9,0,0,0.238,0.347,0.286
7,Austin Farry,2020,Gr.,OF,11,35,3,6,0,0,0,1,4,12,0,0,0.171,0.275,0.171
20,Tim Zupkus,2020,Fr.,OF,10,23,5,4,2,0,0,3,10,3,0,0,0.174,0.424,0.261
16,Steve Rizzuto,2020,Fr.,IF,6,20,2,3,0,0,1,4,2,5,1,0,0.15,0.227,0.3
5,Charlie Auditore,2020,Jr.,C,8,15,2,2,0,0,0,1,0,4,0,0,0.133,0.188,0.133
26,Joe Boushell,2020,Fr.,IF,6,13,3,3,0,0,0,2,1,3,1,0,0.231,0.286,0.231
23,Al Paolozzi,2020,Fr.,1B,6,6,0,2,1,0,0,2,1,1,0,0,0.333,0.429,0.5
28,Ricky Offenberg,2020,Fr.,2B,4,5,1,0,0,0,0,1,1,4,0,0,0,0.167,0
3,Jake Pierce,2019,Jr.,INF,42,177,23,54,6,0,0,27,9,16,0,0,0.305,0.352,0.339
32,Max Troiani,2019,Jr.,OF,42,175,50,56,10,3,9,29,21,23,17,0,0.32,0.402,0.566
4,Mike Samko,2019,Gr.,INF,42,167,33,52,10,2,1,27,25,24,4,0,0.311,0.397,0.413
5,Brandon Grover,2019,Sr.,OF,42,164,22,43,6,1,5,39,19,31,5,0,0.262,0.337,0.402
18,Luke Figueira,2019,Jr.,OF,42,154,27,43,7,2,8,28,16,29,2,1,0.279,0.366,0.506
34,Ryan Berardino,2019,Jr.,1B,38,142,24,42,7,0,1,22,14,12,0,0,0.296,0.369,0.366
10,Christopher Butler,2019,Jr.,C,39,135,15,28,6,0,1,12,13,38,0,0,0.207,0.278,0.274
2,Kyle Halloran,2019,So.,2B,37,120,25,29,3,1,0,16,18,38,5,1,0.242,0.352,0.283
20,Gino Fordiani,2019,Sr.,OF,28,84,20,28,4,0,0,15,15,11,6,2,0.333,0.478,0.381
7,Austin Farry,2019,Sr.,OF,20,62,7,11,0,0,0,2,5,20,0,0,0.177,0.239,0.177
16,Charlie Auditore,2019,So.,3B,11,37,2,6,2,0,0,4,2,12,2,0,0.162,0.225,0.216
17,Chris Hopkins,2019,Jr.,SS,6,20,1,0,0,0,0,0,0,4,0,0,0,0,0
1,Tom Diskin,2019,Jr.,INF,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0
26,Liam Sears,2019,Fr.,3B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
